name,node_id,osm_node_id,highway,level_crossing,access,description,x_coord,y_coord
,0,41573972,level_crossing,,,,-111.9262937,33.4109526
,1,41582786,,,,,-111.9435795,33.4284816
,2,42556211,,,,,-111.8918839,33.4111357
,3,42556214,level_crossing,,,,-111.8919955,33.4111357
,4,42556217,,,,,-111.8968296,33.411088
,5,42556227,,,,,-111.9093042,33.4110411
,6,42556268,,,,,-111.9391108,33.4109068
,7,42556271,,,,,-111.9423566,33.4122447
,8,42556275,,,,,-111.9429809,33.4129834
,9,42556278,,,,,-111.9435156,33.4144996
,10,42556548,,,,,-111.9440792,33.4351511
,11,42556572,,,,,-111.9435785,33.4241044
,12,42556577,level_crossing,,,,-111.9435706,33.4219441
,13,42556581,level_crossing,,,,-111.9435693,33.4203957
,14,42556591,level_crossing,,,,-111.9435841,33.4147218
,15,42556597,,,,,-111.9435545,33.4139605
,16,42556602,level_crossing,,,,-111.9435352,33.4074228
,17,42556613,,,,,-111.9434947,33.3945083
,18,316007381,,,,,-111.9397133,33.4109717
,19,316007382,,,,,-111.9400502,33.4110461
,20,316007383,,,,,-111.9403482,33.4111055
,21,316007384,,,,,-111.9407687,33.4112273
,22,316007385,,,,,-111.9410777,33.4113634
,23,316007386,,,,,-111.9414296,33.4115497
,24,316007387,,,,,-111.9418073,33.4117862
,25,316007388,,,,,-111.9421163,33.4120441
,26,316007389,,,,,-111.9426398,33.4125313
,27,316007390,,,,,-111.9432854,33.4135758
,28,317445522,,,,,-111.9089209,33.4110434
,29,317454154,,,,,-111.9435155,33.3959049
,30,317454428,,,,,-111.9435031,33.3931328
,31,317454653,,,,,-111.9435031,33.3941116
,32,317460155,,,,,-111.9065606,33.4110395
,33,317460244,,,,,-111.9042431,33.4110581
,34,317460498,,,,,-111.9019601,33.4110689
,35,317498437,level_crossing,,,,-111.9435715,33.4254464
,36,317498474,level_crossing,,,,-111.9435847,33.4295124
,37,317498559,,,,,-111.9436185,33.4308119
,38,317498560,,,,,-111.9435799,33.4301686
,39,338045466,,,,,-111.9435512,33.4127191
,40,338045498,,,,,-111.9427974,33.4127213
,41,338494495,,,,,-111.9005034,33.4110759
,42,1497998027,,,,,-111.9435793,33.4269438
,43,1497998030,,,,,-111.9435781,33.4288746
,44,1497998036,,,,,-111.943585,33.4298199
,45,1497998040,,,,,-111.9435892,33.4304868
,46,1497998048,,,,,-111.9438172,33.4328728
,47,1497998053,,,,,-111.9439418,33.4340215
,48,1497998055,,,,,-111.9440083,33.4345994
,49,1501648599,,,,,-111.907586,33.4147308
,50,1501648604,,,,,-111.9087152,33.4147324
,51,1501648670,,,,,-111.9164113,33.4147735
,52,1501648679,,,,,-111.9175406,33.4147736
,53,1501648959,,,,,-111.9266039,33.4203962
,54,1501648967,,,,,-111.9265174,33.4204989
,55,1501648972,,,,,-111.9273474,33.4210534
,56,1501648977,,,,,-111.9272609,33.4211561
,57,1501649243,,,,,-111.9355468,33.4259131
,58,1501649249,,,,,-111.9355153,33.4259946
,59,1501649259,,,,,-111.9363872,33.426209
,60,1501649262,,,,,-111.9363557,33.4262905
,61,1501649330,,,,,-111.941149,33.4274456
,62,1501649331,,,,,-111.940237,33.4274522
,63,1501649380,,,,,-111.9411585,33.4275524
,64,1501649382,,,,,-111.9402464,33.427559
Dorsey/ Apache Blvd,65,1501649430,station,,,,-111.916973,33.4147736
McClintock/ Apache Blvd,66,1501649435,station,,,,-111.90815,33.4147316
,67,2300341439,,,,,-111.943517,33.396412
,68,2300341443,,,,,-111.9435217,33.3965568
,69,2300341445,,,,,-111.9435202,33.3967354
,70,2300341449,,,,,-111.9435187,33.3970133
,71,2300341523,,,,,-111.9435232,33.3978432
,72,2300341535,,,,,-111.9435251,33.3988618
