name,node_id,osm_node_id,highway,level_crossing,access,description,x_coord,y_coord
,115,4029297607,crossing,,,,-111.9435019,33.3929493
,116,4181518577,,,,,-111.9434527,33.4141237
,117,4181518588,,,,,-111.9434936,33.4143375
,118,4181518689,,,,,-111.9435566,33.4143537
,119,4181518693,,,,,-111.943505,33.4144231
,120,4181518694,,,,,-111.9435593,33.4144231
,121,5341183672,,,,,-111.9306575,33.4109226
,122,5341183673,level_crossing,,,,-111.9349308,33.4109161
,123,5415295730,,,,,-111.9361726,33.4261334
,124,6149033501,,,,,-111.9435709,33.4220423
,125,6149033508,level_crossing,,,,-111.9435704,33.4218532
,126,6770995695,,,,,-111.9399546,33.4207864
,127,6770995696,,,,,-111.9399556,33.4210194
,128,6788516052,,,,,-111.9399524,33.4278748
,129,6788516053,,,,,-111.9399534,33.427988
,130,6788516063,,,,,-111.9399405,33.424861
,131,6788516065,,,,,-111.9399417,33.4249743
,132,7264896172,level_crossing,,,,-111.9435344,33.4073247
,133,7590687545,level_crossing,,,,-111.943615,33.425529
,134,7590687546,level_crossing,,,,-111.9435719,33.425529
,135,8336553685,,,,,-111.9399226,33.4180089
,136,8336553686,,,,,-111.9399226,33.4181499
,137,8336553687,,,,,-111.9351939,33.4146909
,138,8336553688,,,,,-111.9353481,33.4146898
,139,8336553689,,,,,-111.9352723,33.4146904
,140,8336553690,,,,,-111.9294667,33.414743
,141,8336553691,,,,,-111.9292454,33.4147441
,142,8336553692,,,,,-111.9253286,33.4147718
,143,8336553693,,,,,-111.925169,33.4147718
,144,8336553694,,,,,-111.9170426,33.4146772
,145,8336553695,,,,,-111.9171787,33.4146772
,146,8340535102,,,,,-111.9415807,33.4294858
,147,8340535103,,,,,-111.941462,33.4294976
,148,8340535105,,,,,-111.9430586,33.4273601
,149,8340535106,,,,,-111.9429681,33.4274659
,150,8340535107,,,,,-111.9434522,33.4253129
,151,8340535108,,,,,-111.9434522,33.4252497
,152,8340550825,,,,,-111.9424949,33.4224555
,153,8340550826,,,,,-111.9424923,33.4223033
,154,8340550855,,,,,-111.9381258,33.4301527
,155,8340550856,,,,,-111.9382532,33.4300755
,156,8340550857,,,,,-111.9327185,33.4293659
,157,8340550858,,,,,-111.9325562,33.4293659
