agent_id,o_node_id,d_node_id,o_zone_id,d_zone_id,matching_link_from_node_id,matching_link_to_node_id,matching_link_id,node_sequence,geometry
63,4566,4178,1,26,4566,413,9966,4178;21;311;20;19;18;17;16;185;571;1017;184;3261;183;580;232;3772;366;233;280;188;851;190;432;3830;1156;1157;746;800;2191;1904;428;416;421;439;413;4566;,"LINESTRING (-111.9469 33.4102596, -111.9442963 33.410264, -111.9442992 33.4106384, -111.9443024 33.4110208, -111.9443094 33.4131817, -111.9443138 33.4139026, -111.9442875 33.4146337, -111.9442483 33.4146347, -111.9435841 33.4147218, -111.9435562 33.41568710000001, -111.9435652 33.4189718, -111.9435693 33.4203957, -111.9435704 33.4218532, -111.9435706 33.4219441, -111.9435725 33.422456, -111.9435715 33.4254464, -111.9435719 33.425529, -111.9435781 33.42887460000001, -111.9435847 33.4295124, -111.9435008 33.42952, -111.9434575 33.4295241, -111.9434283 33.4295304, -111.9430761 33.429697, -111.9428484 33.4296132, -111.942704 33.4295252, -111.9420775 33.4295382, -111.9417837 33.4295365, -111.9409154 33.429599, -111.9401871 33.4296574, -111.9401922 33.4297297, -111.9406764 33.4298714, -111.940964 33.4297353, -111.9410686 33.4298248, -111.9412986 33.4298376, -111.9413717 33.4298696, -111.94142 33.430136, -111.94152515 33.4300788)"
66,3237,4164,1,26,3237,2793,2917,4164;617;20;19;18;17;16;185;571;1017;184;3261;183;580;232;3772;366;233;3236;3235;3233;3231;3237;,"LINESTRING (-111.9469 33.4110265, -111.9447312 33.4110216, -111.9443024 33.4110208, -111.9443094 33.4131817, -111.9443138 33.4139026, -111.9442875 33.4146337, -111.9442483 33.4146347, -111.9435841 33.4147218, -111.9435562 33.41568710000001, -111.9435652 33.4189718, -111.9435693 33.4203957, -111.9435704 33.4218532, -111.9435706 33.4219441, -111.9435725 33.422456, -111.9435715 33.4254464, -111.9435719 33.425529, -111.9435781 33.42887460000001, -111.9435847 33.4295124, -111.9438891 33.4295138, -111.9438673 33.4293268, -111.9438604 33.428349, -111.9440882 33.428349, -111.9443136 33.4283475)"
67,4990,4177,1,26,4990,3155,10814,4177;23;309;22;310;21;311;20;19;18;17;16;185;571;1017;184;3261;183;580;232;3772;366;233;3236;3;3152;3156;3154;3155;4990;,"LINESTRING (-111.9469 33.4087642, -111.9442945 33.4087687, -111.9442946 33.4091443, -111.9442959 33.4095166, -111.9442959 33.40989260000001, -111.9442963 33.410264, -111.9442992 33.4106384, -111.9443024 33.4110208, -111.9443094 33.4131817, -111.9443138 33.4139026, -111.9442875 33.4146337, -111.9442483 33.4146347, -111.9435841 33.4147218, -111.9435562 33.41568710000001, -111.9435652 33.4189718, -111.9435693 33.4203957, -111.9435704 33.4218532, -111.9435706 33.4219441, -111.9435725 33.422456, -111.9435715 33.4254464, -111.9435719 33.425529, -111.9435781 33.42887460000001, -111.9435847 33.4295124, -111.9438891 33.4295138, -111.9442567 33.4295155, -111.9442568 33.4295279, -111.9442601 33.4299032, -111.9443731 33.4299049, -111.9445208 33.4300704, -111.9446675941824 33.43004737533199)"
68,279,312,1,26,279,105,2043,312;163;313;74;621;19;18;17;16;185;571;1017;184;3261;183;580;232;3772;3922;3920;3919;49;3148;105;279;,"LINESTRING (-111.9451656 33.4121077, -111.9451681 33.4124668, -111.9451678 33.4128225, -111.9451702 33.4131851, -111.9447393 33.413184, -111.9443094 33.4131817, -111.9443138 33.4139026, -111.9442875 33.4146337, -111.9442483 33.4146347, -111.9435841 33.4147218, -111.9435562 33.41568710000001, -111.9435652 33.4189718, -111.9435693 33.4203957, -111.9435704 33.4218532, -111.9435706 33.4219441, -111.9435725 33.422456, -111.9435715 33.4254464, -111.9435719 33.425529, -111.9434364 33.4255151, -111.9432524 33.4270553, -111.9428412 33.4275963, -111.9427719 33.4275569, -111.941512 33.42737750000001, -111.9400679 33.4273849, -111.9400695 33.4274911)"
69,4694,4160,1,26,4694,2453,10222,4160;74;621;19;18;17;16;185;571;1017;184;3261;183;580;232;3772;366;233;280;188;3845;3917;3832;3916;3911;746;800;5261;801;1151;752;3857;2452;2453;4694;,"LINESTRING (-111.9469 33.4131927, -111.9451702 33.4131851, -111.9447393 33.413184, -111.9443094 33.4131817, -111.9443138 33.4139026, -111.9442875 33.4146337, -111.9442483 33.4146347, -111.9435841 33.4147218, -111.9435562 33.41568710000001, -111.9435652 33.4189718, -111.9435693 33.4203957, -111.9435704 33.4218532, -111.9435706 33.4219441, -111.9435725 33.422456, -111.9435715 33.4254464, -111.9435719 33.425529, -111.9435781 33.42887460000001, -111.9435847 33.4295124, -111.9435008 33.42952, -111.9434575 33.4295241, -111.942717 33.4277836, -111.9425591 33.4285092, -111.9427707 33.4291942, -111.9425324 33.4293994, -111.9409616 33.4295636, -111.9409154 33.429599, -111.9401871 33.4296574, -111.9400298 33.42967460000001, -111.9398829 33.4296907, -111.9391344 33.4297661, -111.9385575 33.4299923, -111.9385948 33.4300454, -111.939787 33.42976160000001, -111.9398724 33.4311569, -111.9394785134798 33.43129016888042)"
70,4694,4147,1,27,4694,2453,10222,4147;4146;13;3163;12;1076;1017;184;3261;183;580;232;3772;366;233;280;188;3845;3917;3832;3916;3911;746;800;5261;801;1151;752;3857;2452;2453;4694;,"LINESTRING (-111.943703 33.4174932, -111.944243 33.4174879, -111.9442439 33.4177833, -111.9442451 33.4187505, -111.9442453 33.4189174, -111.9437063 33.4189336, -111.9435652 33.4189718, -111.9435693 33.4203957, -111.9435704 33.4218532, -111.9435706 33.4219441, -111.9435725 33.422456, -111.9435715 33.4254464, -111.9435719 33.425529, -111.9435781 33.42887460000001, -111.9435847 33.4295124, -111.9435008 33.42952, -111.9434575 33.4295241, -111.942717 33.4277836, -111.9425591 33.4285092, -111.9427707 33.4291942, -111.9425324 33.4293994, -111.9409616 33.4295636, -111.9409154 33.429599, -111.9401871 33.4296574, -111.9400298 33.42967460000001, -111.9398829 33.4296907, -111.9391344 33.4297661, -111.9385575 33.4299923, -111.9385948 33.4300454, -111.939787 33.42976160000001, -111.9398724 33.4311569, -111.9394785134798 33.43129016888042)"
71,1893,4159,1,27,1893,4488,9811,4159;62;623;18;17;16;185;571;1017;184;3261;183;580;232;3772;366;233;280;188;3845;411;408;1119;104;1898;1895;1897;722;1893;,"LINESTRING (-111.9469 33.4139141, -111.9457982 33.4139106, -111.9447391 33.413904, -111.9443138 33.4139026, -111.9442875 33.4146337, -111.9442483 33.4146347, -111.9435841 33.4147218, -111.9435562 33.41568710000001, -111.9435652 33.4189718, -111.9435693 33.4203957, -111.9435704 33.4218532, -111.9435706 33.4219441, -111.9435725 33.422456, -111.9435715 33.4254464, -111.9435719 33.425529, -111.9435781 33.42887460000001, -111.9435847 33.4295124, -111.9435008 33.42952, -111.9434575 33.4295241, -111.942717 33.4277836, -111.942647 33.4277383, -111.9400695 33.4275261, -111.9400691 33.42776060000001, -111.9400739 33.4285325, -111.940709 33.4285255, -111.9409201 33.4285232, -111.9411134 33.428521, -111.9413318 33.4285186, -111.9413419 33.429289)"
72,5065,4159,1,27,5065,3785,10964,4159;62;623;18;17;16;185;571;1017;184;3261;183;580;232;3772;366;233;3236;3;3153;4;1285;2782;2780;69;2790;2791;2789;2788;3783;3784;3785;5065;,"LINESTRING (-111.9469 33.4139141, -111.9457982 33.4139106, -111.9447391 33.413904, -111.9443138 33.4139026, -111.9442875 33.4146337, -111.9442483 33.4146347, -111.9435841 33.4147218, -111.9435562 33.41568710000001, -111.9435652 33.4189718, -111.9435693 33.4203957, -111.9435704 33.4218532, -111.9435706 33.4219441, -111.9435725 33.422456, -111.9435715 33.4254464, -111.9435719 33.425529, -111.9435781 33.42887460000001, -111.9435847 33.4295124, -111.9438891 33.4295138, -111.9442567 33.4295155, -111.9442632 33.4293622, -111.9443252 33.4291446, -111.9448055 33.4291415, -111.9450555 33.4291399, -111.9451628 33.4291392, -111.9457793 33.4291351, -111.9467829 33.4291351, -111.9467852 33.4295146, -111.9467516 33.4302354, -111.9467635 33.4305707, -111.9461677 33.4307281, -111.9461665 33.4306462, -111.9461674 33.4304246, -111.9464826247798 33.43042125462571)"
74,4995,4171,1,27,4995,4,10824,4171;161;1073;160;1075;113;11;10;229;184;3261;183;580;232;3772;366;233;3236;3;3153;4;4995;,"LINESTRING (-111.9469 33.4168306, -111.9457671 33.4168277, -111.9457653 33.4173081, -111.9457633 33.4177924, -111.9457666 33.4182435, -111.9457704 33.4194034, -111.944246 33.4194019, -111.9442479 33.4203483, -111.9437235 33.4203539, -111.9435693 33.4203957, -111.9435704 33.4218532, -111.9435706 33.4219441, -111.9435725 33.422456, -111.9435715 33.4254464, -111.9435719 33.425529, -111.9435781 33.42887460000001, -111.9435847 33.4295124, -111.9438891 33.4295138, -111.9442567 33.4295155, -111.9442632 33.4293622, -111.9443252 33.4291446, -111.9440528590417 33.42889365827889)"
75,4,3824,1,27,4,3237,2915,3824;3823;43;345;344;4149;343;45;3959;1017;184;3261;183;580;232;3772;366;233;3236;3235;3233;3231;3237;4;,"LINESTRING (-111.9430546 33.4161584, -111.9424528 33.4161632, -111.9424528 33.4161904, -111.941821 33.4161933, -111.9418304 33.41761810000001, -111.9418393 33.4186477, -111.9418437 33.4190521, -111.9423945 33.4190482, -111.9433944 33.4190215, -111.9435652 33.4189718, -111.9435693 33.4203957, -111.9435704 33.4218532, -111.9435706 33.4219441, -111.9435725 33.422456, -111.9435715 33.4254464, -111.9435719 33.425529, -111.9435781 33.42887460000001, -111.9435847 33.4295124, -111.9438891 33.4295138, -111.9438673 33.4293268, -111.9438604 33.428349, -111.9440882 33.428349, -111.9443136 33.4283475, -111.9443252 33.4291446)"
76,4459,3173,1,27,4459,1079,9752,3173;3172;3170;15;16;185;571;1017;184;3261;183;580;232;3772;366;233;280;188;851;190;1158;1159;415;452;434;444;1079;4459;,"LINESTRING (-111.9437607 33.41658839999999, -111.9442407 33.4165478, -111.9442404 33.4162081, -111.9442403 33.4160678, -111.9442483 33.4146347, -111.9435841 33.4147218, -111.9435562 33.41568710000001, -111.9435652 33.4189718, -111.9435693 33.4203957, -111.9435704 33.4218532, -111.9435706 33.4219441, -111.9435725 33.422456, -111.9435715 33.4254464, -111.9435719 33.425529, -111.9435781 33.42887460000001, -111.9435847 33.4295124, -111.9435008 33.42952, -111.9434575 33.4295241, -111.9434283 33.4295304, -111.9430761 33.429697, -111.9431442 33.4297815, -111.9433431 33.4307227, -111.9433535 33.4309202, -111.943241 33.4309221, -111.9432128 33.4303148, -111.9431917 33.4302098, -111.9430423 33.429831, -111.9427134337119 33.42997045155538)"
77,2795,4176,1,27,2795,2792,2921,4176;316;162;161;1073;160;1075;113;11;10;229;184;3261;183;580;232;581;5;3457;3227;3225;3224;3230;2792;2795;,"LINESTRING (-111.9469 33.4160748, -111.9465175 33.41607310000001, -111.9457638 33.4160717, -111.9457671 33.4168277, -111.9457653 33.4173081, -111.9457633 33.4177924, -111.9457666 33.4182435, -111.9457704 33.4194034, -111.944246 33.4194019, -111.9442479 33.4203483, -111.9437235 33.4203539, -111.9435693 33.4203957, -111.9435704 33.4218532, -111.9435706 33.4219441, -111.9435725 33.422456, -111.9435715 33.4254464, -111.9436145 33.4254447, -111.9442882 33.4254677, -111.9442795 33.4261428, -111.9442763 33.4268689, -111.9440975 33.4268702, -111.9441012 33.42767199999999, -111.9442962 33.4276724, -111.9443026 33.4279205, -111.9443068 33.4280856)"
78,3158,4147,1,27,3158,3159,7421,4147;4146;13;3163;12;1076;1017;184;3261;183;580;232;3772;366;233;3236;3;3153;4;1285;2782;2780;2781;2784;3284;3159;3158;,"LINESTRING (-111.943703 33.4174932, -111.944243 33.4174879, -111.9442439 33.4177833, -111.9442451 33.4187505, -111.9442453 33.4189174, -111.9437063 33.4189336, -111.9435652 33.4189718, -111.9435693 33.4203957, -111.9435704 33.4218532, -111.9435706 33.4219441, -111.9435725 33.422456, -111.9435715 33.4254464, -111.9435719 33.425529, -111.9435781 33.42887460000001, -111.9435847 33.4295124, -111.9438891 33.4295138, -111.9442567 33.4295155, -111.9442632 33.4293622, -111.9443252 33.4291446, -111.9448055 33.4291415, -111.9450555 33.4291399, -111.9451628 33.4291392, -111.9451095 33.4294457, -111.9452165 33.4294497, -111.9453641 33.4305477, -111.9451318 33.4305537, -111.9452441 33.4307647)"
79,75,3464,1,27,75,3793,496,3464;3463;3578;4148;45;3959;1017;184;3261;183;580;232;581;5;3457;3227;864;2771;2768;2770;2767;3793;75;,"LINESTRING (-111.9433587 33.41784430000001, -111.9424524 33.41770039999999, -111.9424528 33.4184029, -111.9424547 33.4186471, -111.9423945 33.4190482, -111.9433944 33.4190215, -111.9435652 33.4189718, -111.9435693 33.4203957, -111.9435704 33.4218532, -111.9435706 33.4219441, -111.9435725 33.422456, -111.9435715 33.4254464, -111.9436145 33.4254447, -111.9442882 33.4254677, -111.9442795 33.4261428, -111.9442763 33.4268689, -111.9442762 33.426894, -111.944278 33.4269646, -111.94459 33.4269662, -111.9454989 33.4276893, -111.9457713 33.4276848, -111.9457707 33.4277998, -111.9457739 33.4281466)"
80,5072,4181,1,27,5072,4267,10978,4181;160;1075;113;11;10;229;184;3261;183;580;232;3772;366;233;3236;3;3153;4;1285;2782;2780;69;2790;2791;4267;5072;,"LINESTRING (-111.9469 33.41779380000001, -111.9457633 33.4177924, -111.9457666 33.4182435, -111.9457704 33.4194034, -111.944246 33.4194019, -111.9442479 33.4203483, -111.9437235 33.4203539, -111.9435693 33.4203957, -111.9435704 33.4218532, -111.9435706 33.4219441, -111.9435725 33.422456, -111.9435715 33.4254464, -111.9435719 33.425529, -111.9435781 33.42887460000001, -111.9435847 33.4295124, -111.9438891 33.4295138, -111.9442567 33.4295155, -111.9442632 33.4293622, -111.9443252 33.4291446, -111.9448055 33.4291415, -111.9450555 33.4291399, -111.9451628 33.4291392, -111.9457793 33.4291351, -111.9467829 33.4291351, -111.9467852 33.4295146, -111.9469 33.4295148, -111.94703055 33.42938355)"
81,4768,3618,1,27,4768,1902,10370,3618;3617;564;185;571;1017;184;3261;183;580;232;3772;366;233;280;188;3845;411;408;1119;104;1898;1899;1902;4768;,"LINESTRING (-111.9432702 33.4151145, -111.9431675 33.4147252, -111.9435395 33.4147236, -111.9435841 33.4147218, -111.9435562 33.41568710000001, -111.9435652 33.4189718, -111.9435693 33.4203957, -111.9435704 33.4218532, -111.9435706 33.4219441, -111.9435725 33.422456, -111.9435715 33.4254464, -111.9435719 33.425529, -111.9435781 33.42887460000001, -111.9435847 33.4295124, -111.9435008 33.42952, -111.9434575 33.4295241, -111.942717 33.4277836, -111.942647 33.4277383, -111.9400695 33.4275261, -111.9400691 33.42776060000001, -111.9400739 33.4285325, -111.940709 33.4285255, -111.9407112 33.4286913, -111.9407132 33.4288384, -111.940921934982 33.42887858867442)"
82,4677,4220,1,27,4677,1120,10188,4220;622;623;18;17;16;185;571;1017;184;3261;183;580;232;3772;3922;3920;3919;49;3148;105;279;408;1119;104;3898;1121;1120;4677;,"LINESTRING (-111.9469 33.4135523, -111.94474 33.4135476, -111.9447391 33.413904, -111.9443138 33.4139026, -111.9442875 33.4146337, -111.9442483 33.4146347, -111.9435841 33.4147218, -111.9435562 33.41568710000001, -111.9435652 33.4189718, -111.9435693 33.4203957, -111.9435704 33.4218532, -111.9435706 33.4219441, -111.9435725 33.422456, -111.9435715 33.4254464, -111.9435719 33.425529, -111.9434364 33.4255151, -111.9432524 33.4270553, -111.9428412 33.4275963, -111.9427719 33.4275569, -111.941512 33.42737750000001, -111.9400679 33.4273849, -111.9400695 33.4274911, -111.9400695 33.4275261, -111.9400691 33.42776060000001, -111.9400739 33.4285325, -111.9399794 33.4284477, -111.9399616 33.4284311, -111.9399618 33.4281865, -111.9404138 33.42804875)"
83,4459,4171,1,27,4459,1079,9752,4171;161;1073;160;1075;113;11;10;229;184;3261;183;580;232;3772;366;233;280;188;851;190;1158;1159;415;452;434;444;1079;4459;,"LINESTRING (-111.9469 33.4168306, -111.9457671 33.4168277, -111.9457653 33.4173081, -111.9457633 33.4177924, -111.9457666 33.4182435, -111.9457704 33.4194034, -111.944246 33.4194019, -111.9442479 33.4203483, -111.9437235 33.4203539, -111.9435693 33.4203957, -111.9435704 33.4218532, -111.9435706 33.4219441, -111.9435725 33.422456, -111.9435715 33.4254464, -111.9435719 33.425529, -111.9435781 33.42887460000001, -111.9435847 33.4295124, -111.9435008 33.42952, -111.9434575 33.4295241, -111.9434283 33.4295304, -111.9430761 33.429697, -111.9431442 33.4297815, -111.9433431 33.4307227, -111.9433535 33.4309202, -111.943241 33.4309221, -111.9432128 33.4303148, -111.9431917 33.4302098, -111.9430423 33.429831, -111.9427134337119 33.42997045155538)"
84,5006,4171,1,27,5006,1285,10846,4171;161;1073;160;1075;113;11;10;229;184;3261;183;580;232;3772;366;233;3236;3;3153;4;1285;5006;,"LINESTRING (-111.9469 33.4168306, -111.9457671 33.4168277, -111.9457653 33.4173081, -111.9457633 33.4177924, -111.9457666 33.4182435, -111.9457704 33.4194034, -111.944246 33.4194019, -111.9442479 33.4203483, -111.9437235 33.4203539, -111.9435693 33.4203957, -111.9435704 33.4218532, -111.9435706 33.4219441, -111.9435725 33.422456, -111.9435715 33.4254464, -111.9435719 33.425529, -111.9435781 33.42887460000001, -111.9435847 33.4295124, -111.9438891 33.4295138, -111.9442567 33.4295155, -111.9442632 33.4293622, -111.9443252 33.4291446, -111.9448055 33.4291415, -111.944872 33.429055)"
85,2767,3462,1,27,2767,3800,500,3462;3461;44;3463;3578;4148;45;3959;1017;184;3261;183;580;232;581;5;3457;3227;864;863;3971;2765;4136;3800;2767;,"LINESTRING (-111.943353 33.416904, -111.9424497 33.4169032, -111.9424525 33.4176183, -111.9424524 33.41770039999999, -111.9424528 33.4184029, -111.9424547 33.4186471, -111.9423945 33.4190482, -111.9433944 33.4190215, -111.9435652 33.4189718, -111.9435693 33.4203957, -111.9435704 33.4218532, -111.9435706 33.4219441, -111.9435725 33.422456, -111.9435715 33.4254464, -111.9436145 33.4254447, -111.9442882 33.4254677, -111.9442795 33.4261428, -111.9442763 33.4268689, -111.9442762 33.426894, -111.9457728 33.4264284, -111.945772 33.4267672, -111.945772 33.4271033, -111.9457715 33.4272852, -111.9457714 33.4274554, -111.9457713 33.4276848)"
86,69,3462,1,27,69,3776,490,3462;3461;44;3463;3578;4148;45;3959;1017;184;3261;183;580;232;3772;366;233;3236;3;3153;4;1285;2782;2780;69;,"LINESTRING (-111.943353 33.416904, -111.9424497 33.4169032, -111.9424525 33.4176183, -111.9424524 33.41770039999999, -111.9424528 33.4184029, -111.9424547 33.4186471, -111.9423945 33.4190482, -111.9433944 33.4190215, -111.9435652 33.4189718, -111.9435693 33.4203957, -111.9435704 33.4218532, -111.9435706 33.4219441, -111.9435725 33.422456, -111.9435715 33.4254464, -111.9435719 33.425529, -111.9435781 33.42887460000001, -111.9435847 33.4295124, -111.9438891 33.4295138, -111.9442567 33.4295155, -111.9442632 33.4293622, -111.9443252 33.4291446, -111.9448055 33.4291415, -111.9450555 33.4291399, -111.9451628 33.4291392, -111.9457793 33.4291351)"
87,4,4220,1,27,4,3237,2915,4220;622;623;18;17;16;185;571;1017;184;3261;183;580;232;3772;366;233;3236;3235;3233;3231;3237;4;,"LINESTRING (-111.9469 33.4135523, -111.94474 33.4135476, -111.9447391 33.413904, -111.9443138 33.4139026, -111.9442875 33.4146337, -111.9442483 33.4146347, -111.9435841 33.4147218, -111.9435562 33.41568710000001, -111.9435652 33.4189718, -111.9435693 33.4203957, -111.9435704 33.4218532, -111.9435706 33.4219441, -111.9435725 33.422456, -111.9435715 33.4254464, -111.9435719 33.425529, -111.9435781 33.42887460000001, -111.9435847 33.4295124, -111.9438891 33.4295138, -111.9438673 33.4293268, -111.9438604 33.428349, -111.9440882 33.428349, -111.9443136 33.4283475, -111.9443252 33.4291446)"
88,4677,314,1,27,4677,1120,10188,314;141;317;17;16;185;571;1017;184;3261;183;580;232;3772;3922;3920;3919;49;3148;105;279;408;1119;104;3898;1121;1120;4677;,"LINESTRING (-111.9458013 33.4142662, -111.9457642 33.41463839999999, -111.9450135 33.4146366, -111.9442875 33.4146337, -111.9442483 33.4146347, -111.9435841 33.4147218, -111.9435562 33.41568710000001, -111.9435652 33.4189718, -111.9435693 33.4203957, -111.9435704 33.4218532, -111.9435706 33.4219441, -111.9435725 33.422456, -111.9435715 33.4254464, -111.9435719 33.425529, -111.9434364 33.4255151, -111.9432524 33.4270553, -111.9428412 33.4275963, -111.9427719 33.4275569, -111.941512 33.42737750000001, -111.9400679 33.4273849, -111.9400695 33.4274911, -111.9400695 33.4275261, -111.9400691 33.42776060000001, -111.9400739 33.4285325, -111.9399794 33.4284477, -111.9399616 33.4284311, -111.9399618 33.4281865, -111.9404138 33.42804875)"
89,4983,4210,1,27,4983,3284,10800,4210;315;141;317;17;16;185;571;1017;184;3261;183;580;232;3772;366;233;3236;3;3153;4;1285;2782;2780;2781;2784;3284;4983;,"LINESTRING (-111.9469 33.4146433, -111.9465222 33.4146426, -111.9457642 33.41463839999999, -111.9450135 33.4146366, -111.9442875 33.4146337, -111.9442483 33.4146347, -111.9435841 33.4147218, -111.9435562 33.41568710000001, -111.9435652 33.4189718, -111.9435693 33.4203957, -111.9435704 33.4218532, -111.9435706 33.4219441, -111.9435725 33.422456, -111.9435715 33.4254464, -111.9435719 33.425529, -111.9435781 33.42887460000001, -111.9435847 33.4295124, -111.9438891 33.4295138, -111.9442567 33.4295155, -111.9442632 33.4293622, -111.9443252 33.4291446, -111.9448055 33.4291415, -111.9450555 33.4291399, -111.9451628 33.4291392, -111.9451095 33.4294457, -111.9452165 33.4294497, -111.9453641 33.4305477, -111.94547935 33.43065840000001)"
90,5069,1073,1,27,5069,2791,10972,1073;160;1075;113;11;10;229;184;3261;183;580;232;3772;366;233;3236;3;3153;4;1285;2782;2780;69;2790;2791;5069;,"LINESTRING (-111.9457653 33.4173081, -111.9457633 33.4177924, -111.9457666 33.4182435, -111.9457704 33.4194034, -111.944246 33.4194019, -111.9442479 33.4203483, -111.9437235 33.4203539, -111.9435693 33.4203957, -111.9435704 33.4218532, -111.9435706 33.4219441, -111.9435725 33.422456, -111.9435715 33.4254464, -111.9435719 33.425529, -111.9435781 33.42887460000001, -111.9435847 33.4295124, -111.9438891 33.4295138, -111.9442567 33.4295155, -111.9442632 33.4293622, -111.9443252 33.4291446, -111.9448055 33.4291415, -111.9450555 33.4291399, -111.9451628 33.4291392, -111.9457793 33.4291351, -111.9467829 33.4291351, -111.9467852 33.4295146, -111.9465258629757 33.42985672535415)"
92,4760,3171,1,27,4760,489,10354,3171;3170;15;16;185;571;1017;184;3261;183;580;232;3772;3922;3920;3919;49;3148;105;279;408;1119;104;797;68;3923;3909;3907;3908;3839;3887;3888;3134;489;4760;,"LINESTRING (-111.9437371 33.4162943, -111.9442404 33.4162081, -111.9442403 33.4160678, -111.9442483 33.4146347, -111.9435841 33.4147218, -111.9435562 33.41568710000001, -111.9435652 33.4189718, -111.9435693 33.4203957, -111.9435704 33.4218532, -111.9435706 33.4219441, -111.9435725 33.422456, -111.9435715 33.4254464, -111.9435719 33.425529, -111.9434364 33.4255151, -111.9432524 33.4270553, -111.9428412 33.4275963, -111.9427719 33.4275569, -111.941512 33.42737750000001, -111.9400679 33.4273849, -111.9400695 33.4274911, -111.9400695 33.4275261, -111.9400691 33.42776060000001, -111.9400739 33.4285325, -111.9400836 33.4294932, -111.9400872 33.4295692, -111.9400883 33.4296013, -111.9400903 33.4296497, -111.9399662 33.4296617, -111.9398818 33.42966980000001, -111.9385087 33.4299567, -111.9388274 33.4296956, -111.9391942 33.4295715, -111.93919 33.4295544, -111.9388547 33.4285369, -111.9392636792885 33.42889077444613)"
93,5072,4147,1,27,5072,4267,10978,4147;4146;13;3163;12;1076;1017;184;3261;183;580;232;3772;366;233;3236;3;3153;4;1285;2782;2780;69;2790;2791;4267;5072;,"LINESTRING (-111.943703 33.4174932, -111.944243 33.4174879, -111.9442439 33.4177833, -111.9442451 33.4187505, -111.9442453 33.4189174, -111.9437063 33.4189336, -111.9435652 33.4189718, -111.9435693 33.4203957, -111.9435704 33.4218532, -111.9435706 33.4219441, -111.9435725 33.422456, -111.9435715 33.4254464, -111.9435719 33.425529, -111.9435781 33.42887460000001, -111.9435847 33.4295124, -111.9438891 33.4295138, -111.9442567 33.4295155, -111.9442632 33.4293622, -111.9443252 33.4291446, -111.9448055 33.4291415, -111.9450555 33.4291399, -111.9451628 33.4291392, -111.9457793 33.4291351, -111.9467829 33.4291351, -111.9467852 33.4295146, -111.9469 33.4295148, -111.94703055 33.42938355)"
94,3793,3173,1,27,3793,2767,498,3173;3172;3170;15;16;185;571;1017;184;3261;183;580;232;581;5;3457;3227;864;2771;2768;2770;2767;3793;,"LINESTRING (-111.9437607 33.41658839999999, -111.9442407 33.4165478, -111.9442404 33.4162081, -111.9442403 33.4160678, -111.9442483 33.4146347, -111.9435841 33.4147218, -111.9435562 33.41568710000001, -111.9435652 33.4189718, -111.9435693 33.4203957, -111.9435704 33.4218532, -111.9435706 33.4219441, -111.9435725 33.422456, -111.9435715 33.4254464, -111.9436145 33.4254447, -111.9442882 33.4254677, -111.9442795 33.4261428, -111.9442763 33.4268689, -111.9442762 33.426894, -111.944278 33.4269646, -111.94459 33.4269662, -111.9454989 33.4276893, -111.9457713 33.4276848, -111.9457707 33.4277998)"
95,4979,3577,1,27,4979,3151,10792,3577;3576;42;3617;564;185;571;1017;184;3261;183;580;232;3772;366;233;3236;3;3153;3151;4979;,"LINESTRING (-111.9429709 33.4157941, -111.9424522 33.4157881, -111.9424188 33.4147283, -111.9431675 33.4147252, -111.9435395 33.4147236, -111.9435841 33.4147218, -111.9435562 33.41568710000001, -111.9435652 33.4189718, -111.9435693 33.4203957, -111.9435704 33.4218532, -111.9435706 33.4219441, -111.9435725 33.422456, -111.9435715 33.4254464, -111.9435719 33.425529, -111.9435781 33.42887460000001, -111.9435847 33.4295124, -111.9438891 33.4295138, -111.9442567 33.4295155, -111.9442632 33.4293622, -111.9443716 33.4293624, -111.9445009477578 33.42943607707105)"
96,4984,3464,1,27,4984,2783,10802,3464;3463;3578;4148;45;3959;1017;184;3261;183;580;232;3772;366;233;3236;3;3153;4;1285;2782;2780;2781;3282;2783;4984;,"LINESTRING (-111.9433587 33.41784430000001, -111.9424524 33.41770039999999, -111.9424528 33.4184029, -111.9424547 33.4186471, -111.9423945 33.4190482, -111.9433944 33.4190215, -111.9435652 33.4189718, -111.9435693 33.4203957, -111.9435704 33.4218532, -111.9435706 33.4219441, -111.9435725 33.422456, -111.9435715 33.4254464, -111.9435719 33.425529, -111.9435781 33.42887460000001, -111.9435847 33.4295124, -111.9438891 33.4295138, -111.9442567 33.4295155, -111.9442632 33.4293622, -111.9443252 33.4291446, -111.9448055 33.4291415, -111.9450555 33.4291399, -111.9451628 33.4291392, -111.9451095 33.4294457, -111.9450095 33.4294461, -111.9447374 33.4305631, -111.94475795 33.43066745)"
97,4980,3464,1,27,4980,3155,10794,3464;3463;3578;4148;45;3959;1017;184;3261;183;580;232;3772;366;233;3236;3;3152;3156;3154;3155;4980;,"LINESTRING (-111.9433587 33.41784430000001, -111.9424524 33.41770039999999, -111.9424528 33.4184029, -111.9424547 33.4186471, -111.9423945 33.4190482, -111.9433944 33.4190215, -111.9435652 33.4189718, -111.9435693 33.4203957, -111.9435704 33.4218532, -111.9435706 33.4219441, -111.9435725 33.422456, -111.9435715 33.4254464, -111.9435719 33.425529, -111.9435781 33.42887460000001, -111.9435847 33.4295124, -111.9438891 33.4295138, -111.9442567 33.4295155, -111.9442568 33.4295279, -111.9442601 33.4299032, -111.9443731 33.4299049, -111.9445208 33.4300704, -111.9444630282001 33.43002806807458)"
