o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,volume,geometry
2,A2,4,A4,1.2581692730864433,1,"LINESTRING (-111.9350544 33.4298792,-111.9221543 33.4279785)"
2,A2,5,A5,2.5772974318613238,1,"LINESTRING (-111.9350544 33.4298792,-111.9083615 33.4308479)"
2,A2,6,B1,0.8461086533829961,2,"LINESTRING (-111.9350544 33.4298792,-111.9423009 33.4249415)"
2,A2,7,B2,0.53838055069703,3,"LINESTRING (-111.9350544 33.4298792,-111.9365459 33.4245026)"
2,A2,8,B3,0.8846201490805697,2,"LINESTRING (-111.9350544 33.4298792,-111.927787 33.4242902)"
2,A2,9,B4,1.5164500038044724,1,"LINESTRING (-111.9350544 33.4298792,-111.9205792 33.4237583)"
2,A2,10,B5,2.306129580556228,1,"LINESTRING (-111.9350544 33.4298792,-111.9118167 33.4242909)"
2,A2,11,C1,1.1358139623195174,2,"LINESTRING (-111.9350544 33.4298792,-111.9420148 33.4203862)"
2,A2,12,C2,0.9245980786607407,3,"LINESTRING (-111.9350544 33.4298792,-111.9353199 33.4203006)"
2,A2,13,C3,1.1236538671721499,2,"LINESTRING (-111.9350544 33.4298792,-111.9281869 33.4204744)"
2,A2,14,C4,1.7390042033800714,1,"LINESTRING (-111.9350544 33.4298792,-111.9199398 33.4200627)"
2,A2,15,C5,2.455650837660762,1,"LINESTRING (-111.9350544 33.4298792,-111.9117545 33.4196417)"
2,A2,16,D1,1.5325453380206966,1,"LINESTRING (-111.9350544 33.4298792,-111.9427358 33.4159773)"
2,A2,17,D2,1.342719117875723,2,"LINESTRING (-111.9350544 33.4298792,-111.9353753 33.4159673)"
2,A2,18,D3,1.5547463914630408,2,"LINESTRING (-111.9350544 33.4298792,-111.9270781 33.4158789)"
2,A2,19,D4,1.9491520680984833,1,"LINESTRING (-111.9350544 33.4298792,-111.9202895 33.416093)"
2,A2,20,D5,2.647680749334753,1,"LINESTRING (-111.9350544 33.4298792,-111.9116435 33.4155655)"
2,A2,21,E1,1.9788506557225238,1,"LINESTRING (-111.9350544 33.4298792,-111.9428061 33.4108923)"
2,A2,22,E2,1.915348852603082,1,"LINESTRING (-111.9350544 33.4298792,-111.934858 33.41003)"
2,A2,23,E3,1.9510235236332996,2,"LINESTRING (-111.9350544 33.4298792,-111.9274186 33.4111565)"
2,A2,24,E4,2.3279972824262556,1,"LINESTRING (-111.9350544 33.4298792,-111.9194041 33.411517)"
2,A2,25,E5,2.943390243349971,1,"LINESTRING (-111.9350544 33.4298792,-111.9112236 33.4108366)"
2,A2,26,Gate1,2.391887288365835,18,"LINESTRING (-111.9350544 33.4298792,-111.9509529 33.41086)"
