name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
,4408,544285354,1521,4086,1,112.8543114,,,0,footway,9,"LINESTRING (-111.9264753 33.4189004, -111.926982 33.418851, -111.9276197 33.4185985)",walk,0
,4409,544286104,1523,1526,1,27.58988209,,,0,footway,9,"LINESTRING (-111.9289994 33.4244141, -111.9289051 33.4245421, -111.9288182 33.4246078)",walk,0
,4410,544286104,1526,1524,1,49.0623247,,,0,footway,9,"LINESTRING (-111.9288182 33.4246078, -111.9287399 33.4246669, -111.9285401 33.4247322, -111.9284489 33.424762, -111.9283396 33.424776)",walk,0
,4411,544286105,1525,1526,1,32.48503012,,,0,footway,9,"LINESTRING (-111.9291392 33.4247172, -111.9289876 33.4246439, -111.9288182 33.4246078)",walk,0
,4412,544286105,1526,1527,1,33.29019465,,,0,footway,9,"LINESTRING (-111.9288182 33.4246078, -111.9285747 33.4245586, -111.9284725 33.424529)",walk,0
,4413,544286106,1967,1961,1,4.093904446,,,0,footway,9,"LINESTRING (-111.9264663 33.4245982, -111.9265104 33.4245973)",walk,0
,4414,544286106,1961,3127,1,162.1085242,,,0,footway,9,"LINESTRING (-111.9265104 33.4245973, -111.9265279 33.4245845, -111.926558 33.4245772, -111.9277253 33.4245717, -111.9281697 33.4245454, -111.9282489 33.4245417)",walk,0
,4415,544286106,3127,1846,1,8.160273979,,,0,footway,9,"LINESTRING (-111.9282489 33.4245417, -111.9283366 33.4245364)",walk,0
,4416,544286106,1846,1527,1,12.6389626,,,0,footway,9,"LINESTRING (-111.9283366 33.4245364, -111.9284725 33.424529)",walk,0
,4417,544286106,1527,1523,1,50.54033827,,,0,footway,9,"LINESTRING (-111.9284725 33.424529, -111.9289994 33.4244141)",walk,0
,4418,544286106,1523,1525,1,36.11414274,,,0,footway,9,"LINESTRING (-111.9289994 33.4244141, -111.9291392 33.4247172)",walk,0
,4419,544286107,1528,1838,1,13.22682134,,,0,footway,9,"LINESTRING (-111.9309896 33.4234427, -111.9309938 33.4235616)",walk,0
,4420,544286107,1838,1530,1,28.95640967,,,0,footway,9,"LINESTRING (-111.9309938 33.4235616, -111.9309967 33.423822)",walk,0
,4421,544286107,1530,2342,1,7.820726566,,,0,footway,9,"LINESTRING (-111.9309967 33.423822, -111.9309993 33.4238923)",walk,0
,4422,544286107,2342,1529,1,13.82164155,,,0,footway,9,"LINESTRING (-111.9309993 33.4238923, -111.9309987 33.4240166)",walk,0
