name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,119,6006081422,,-0.1296199,51.4653986,,,,,
,120,21539433,,-0.1174912,51.4596086,,,,,
,121,21539419,,-0.1176485,51.4596943,,,,,
,122,21539421,,-0.1225031,51.4586913,,,,,
,123,21539423,,-0.1185609,51.4584031,,,,,
,124,21539424,,-0.1175615,51.4581716,,,,,
,125,114276908,,-0.1180884,51.4572844,,,,,
,126,21539429,,-0.1190879,51.4575205,,,,,
,127,114277468,,-0.1205316,51.4578901,,,,,
,128,114275456,,-0.1224680,51.4581646,,,,,
,129,275339691,,-0.1225057,51.4569989,,,,,
,130,2152588359,,-0.1154922,51.4618472,,,,,
,131,227760,,-0.1160075,51.4618815,,,,,
,132,110273508,,-0.1169912,51.4618426,,,,,
,133,110273318,,-0.1185382,51.4615675,,,,,
,134,21539417,,-0.1192375,51.4613983,,,,,
,135,21550686,,-0.1193688,51.4616077,,,,,
,136,5802408633,,-0.1187103,51.4605547,,,,,
,137,21539415,,-0.1158680,51.4626753,,,,,
,138,3223489434,,-0.1450957,51.4914586,,,,,
,139,21558066,,-0.1445502,51.4912069,,,,,
,140,21558063,,-0.1453674,51.4915840,,,,,
,141,21568261,,-0.0699242,51.4613669,,,,,
,142,21568260,,-0.0698198,51.4610138,,,,,
,143,25339613,,-0.0700111,51.4617495,,,,,
,144,21568259,,-0.0697907,51.4608856,,,,,
,145,21568256,,-0.0679716,51.4609926,,,,,
,146,21568610,,-0.0678697,51.4622166,,,,,
,147,21568263,,-0.0677570,51.4616076,,,,,
,148,25498203,,-0.0665107,51.4644764,,,,,
,149,277031684,,-0.0665258,51.4649619,,,,,
,150,21642855,,-0.1444625,51.4932561,,,,,
,151,677523029,,-0.1449542,51.4928044,,,,,
,152,21642854,,-0.1459719,51.4918694,,,,,
,153,18129881,signal,-0.1477997,51.4925121,,,,,
,154,21668963,,-0.1475509,51.4924495,,,,,
,155,21669658,,-0.1412900,51.4922464,,,,,
,156,21669657,,-0.1403676,51.4926159,,,,,
,157,21669659,,-0.1426515,51.4933504,,,,,
,158,21669687,,-0.1409082,51.4919381,,,,,
,159,21669660,,-0.1393520,51.4930227,,,,,
,160,18130217,,-0.1388857,51.4925371,,,,,
,161,24498627,,-0.1427199,51.4919909,,,,,
,162,24498625,,-0.1429430,51.4917976,,,,,
,163,109868,,-0.1430512,51.4913034,,,,,
,164,24605618,,-0.1426848,51.4920209,,,,,
,165,24261634,,-0.1424978,51.4914673,,,,,
,166,109867,signal,-0.1441251,51.4909854,,,,,
,167,109866,,-0.1450064,51.4907244,,,,,
,168,109865,,-0.1457568,51.4905021,,,,,
,169,109864,,-0.1462120,51.4903673,,,,,
,170,108355,signal,-0.1412764,51.4918291,,,,,
,171,18130218,signal,-0.1380700,51.4927786,,,,,
,172,18130216,signal,-0.1399398,51.4922249,,,,,
,173,1685947994,,-0.1479610,51.4900367,,,,,
,174,2774690535,,-0.1419967,51.4945908,,,,,
,175,810371985,,-0.1423365,51.4945008,,,,,
,176,108317,,-0.1431818,51.4942972,,,,,
,177,1394714394,,-0.1426615,51.4950110,,,,,
,178,1233350118,signal,-0.1435439,51.4928817,,,,,
,179,108351,,-0.1417958,51.4937686,,,,,
,180,18130208,,-0.1462792,51.4920110,,,,,
,181,3223489436,,-0.1457476,51.4917635,,,,,
,182,24789842,,-0.1456675,51.4894037,,,,,
,183,18130211,,-0.1467163,51.4891974,,,,,
,184,24500523,,-0.1436324,51.4900654,,,,,
,185,24789239,,-0.1424658,51.4883226,,,,,
,186,6463292478,,-0.1415615,51.4878956,,,,,
,187,24789289,,-0.1437396,51.4889327,,,,,
,188,8207120684,,-0.1455981,51.4897993,,,,,
,189,24500536,,-0.1445229,51.4893077,,,,,
,190,24792241,,-0.1454336,51.4885532,,,,,
,191,24792341,,-0.1446303,51.4881708,,,,,
,192,1233349627,,-0.1462512,51.4889341,,,,,
,193,18130212,,-0.1434186,51.4875012,,,,,
,194,53848049,,-0.1459462,51.4881219,,,,,
,195,24803600,,-0.1427791,51.4909474,,,,,
,196,24801621,,-0.1426619,51.4908691,,,,,
,197,24803942,,-0.1431062,51.4909527,,,,,
,198,24801655,,-0.1422795,51.4911835,,,,,
,199,24801697,,-0.1420086,51.4911329,,,,,
,200,53848981,,-0.1450794,51.4878002,,,,,
,201,4944578562,,-0.1447498,51.4880722,,,,,
,202,24826872,,-0.1424681,51.4876151,,,,,
,203,24789249,,-0.1429067,51.4879593,,,,,
,204,24789284,,-0.1442100,51.4885492,,,,,
,205,24500539,,-0.1449769,51.4889402,,,,,
,206,24501714,,-0.1404421,51.4892273,,,,,
,207,24827096,,-0.1391586,51.4901600,,,,,
,208,24500311,,-0.1469154,51.4910941,,,,,
,209,24500521,,-0.1440748,51.4896837,,,,,
,210,6648629304,,-0.1365223,51.4919868,,,,,
,211,6648629309,signal,-0.1366495,51.4918761,,,,,
,212,24829130,,-0.1375418,51.4910796,,,,,
,213,24789219,,-0.1420345,51.4887076,,,,,
,214,24501909,,-0.1415592,51.4890921,,,,,
,215,4944599163,,-0.1411897,51.4893664,,,,,
,216,1960864455,,-0.1432564,51.4876728,,,,,
,217,24923184,,-0.1060600,51.5025190,,,,,
,218,24923234,,-0.1059991,51.5021943,,,,,
,219,21568453,,-0.0737805,51.4610628,,,,,
,220,745459714,,-0.0732184,51.4602784,,,,,
,221,21568252,,-0.0742050,51.4597626,,,,,
,222,21568249,,-0.0736793,51.4598294,,,,,
,223,4928910046,,-0.0751622,51.4606642,,,,,
,224,108357,,-0.1408720,51.4941900,,,,,
,225,9261991151,signal,-0.0714554,51.4615523,,,,,
,226,4928079266,,-0.0716223,51.4622937,,,,,
,227,25150607,,-0.0724855,51.4635734,,,,,
,228,25150608,,-0.0728888,51.4641343,,,,,
,229,25150620,,-0.0721299,51.4630798,,,,,
,230,21568452,,-0.0714278,51.4614003,,,,,
,231,108299,,-0.1356331,51.4974947,,,,,
,232,4952188716,signal,-0.1355738,51.4972789,,,,,
,233,108329,,-0.1356084,51.4969358,,,,,
,234,108318,,-0.1355846,51.4964579,,,,,
,235,25306041,,-0.1391467,51.4967499,,,,,
,236,24973086,,-0.1371323,51.4966515,,,,,
,237,25038644,,-0.1391163,51.4945323,,,,,
,238,25077670,,-0.1384213,51.4936122,,,,,
,239,25038545,,-0.1378438,51.4929527,,,,,
,240,1691695929,,-0.1370061,51.4931120,,,,,
,241,25038547,,-0.1375206,51.4933299,,,,,
,242,25038550,,-0.1371541,51.4937575,,,,,
,243,1269558032,,-0.1376831,51.4939211,,,,,
,244,25038627,,-0.1377854,51.4939688,,,,,
,245,108321,,-0.1385177,51.4949062,,,,,
,246,18130220,,-0.1362866,51.4947698,,,,,
,247,25261289,,-0.1368442,51.4949593,,,,,
,248,25277075,,-0.1376602,51.4955110,,,,,
,249,24973084,,-0.1363546,51.4955651,,,,,
,250,108320,,-0.1373317,51.4958003,,,,,
,251,21036396,,-0.1454761,51.4958990,,,,,
,252,2314796043,,-0.1458038,51.4964341,,,,,
