o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,geometry
2,A2,14,B4,0.6491885949210607,"LINESTRING (13.1889152 52.5554778,13.1975354 52.5518695)"
2,A2,15,B5,0.9547755063892424,"LINESTRING (13.1889152 52.5554778,13.2020792 52.5515283)"
2,A2,16,B6,1.360451890889337,"LINESTRING (13.1889152 52.5554778,13.2082298 52.5522446)"
2,A2,17,B7,1.613740261639965,"LINESTRING (13.1889152 52.5554778,13.2119786 52.5527064)"
2,A2,18,B8,1.9744686063236085,"LINESTRING (13.1889152 52.5554778,13.2171456 52.5521837)"
2,A2,19,B9,2.311319154785025,"LINESTRING (13.1889152 52.5554778,13.2221629 52.5542396)"
2,A2,20,B10,2.5590582767783614,"LINESTRING (13.1889152 52.5554778,13.225601 52.5521452)"
2,A2,21,C1,0.718274295556845,"LINESTRING (13.1889152 52.5554778,13.1837045 52.5465474)"
2,A2,22,C2,0.5941858570336556,"LINESTRING (13.1889152 52.5554778,13.1876311 52.5470216)"
2,A2,23,C3,0.6194527966683987,"LINESTRING (13.1889152 52.5554778,13.1922758 52.5472185)"
2,A2,24,C4,0.8280346740430354,"LINESTRING (13.1889152 52.5554778,13.1978552 52.5475945)"
2,A2,25,C5,1.088553403100865,"LINESTRING (13.1889152 52.5554778,13.2023174 52.5473592)"
2,A2,26,C6,1.3923622678427066,"LINESTRING (13.1889152 52.5554778,13.207515 52.5480108)"
2,A2,27,C7,1.6544885915218999,"LINESTRING (13.1889152 52.5554778,13.2116045 52.5482397)"
2,A2,28,C8,2.091290317476022,"LINESTRING (13.1889152 52.5554778,13.2182015 52.548511)"
2,A2,29,C9,2.396657463597397,"LINESTRING (13.1889152 52.5554778,13.2225432 52.5477739)"
2,A2,30,C10,2.617027788705376,"LINESTRING (13.1889152 52.5554778,13.2256429 52.5470988)"
2,A2,31,D1,0.9484785037228444,"LINESTRING (13.1889152 52.5554778,13.1840595 52.5427174)"
2,A2,32,D2,0.853954472253161,"LINESTRING (13.1889152 52.5554778,13.1872463 52.5432992)"
2,A2,33,D3,0.9427262319996194,"LINESTRING (13.1889152 52.5554778,13.1927723 52.5424672)"
2,A2,34,D4,1.0929828130034984,"LINESTRING (13.1889152 52.5554778,13.1979796 52.5426182)"
2,A2,35,D5,1.2814473179408274,"LINESTRING (13.1889152 52.5554778,13.2025417 52.543045)"
2,A2,36,D6,1.5210439687380233,"LINESTRING (13.1889152 52.5554778,13.2071003 52.5432838)"
2,A2,37,D7,1.888137404687332,"LINESTRING (13.1889152 52.5554778,13.2124087 52.5418116)"
2,A2,38,D8,2.257462741690147,"LINESTRING (13.1889152 52.5554778,13.21772 52.5404364)"
2,A2,39,D9,2.5238210397088787,"LINESTRING (13.1889152 52.5554778,13.2226372 52.5419621)"
2,A2,40,D10,2.715402092100525,"LINESTRING (13.1889152 52.5554778,13.2256983 52.5422555)"
3,A3,1,A1,0.5923897214979472,"LINESTRING (13.1928876 52.5555907,13.184365 52.5558743)"
3,A3,2,A2,0.27607059554114904,"LINESTRING (13.1928876 52.5555907,13.1889152 52.5554778)"
3,A3,3,A3,0.0,"LINESTRING (13.1928876 52.5555907,13.1928876 52.5555907)"
3,A3,4,A4,0.3297752769751603,"LINESTRING (13.1928876 52.5555907,13.1976345 52.5556169)"
3,A3,5,A5,0.6769699837360894,"LINESTRING (13.1928876 52.5555907,13.2026323 52.555621)"
3,A3,6,A6,0.9736275541586731,"LINESTRING (13.1928876 52.5555907,13.2069026 52.555611)"
3,A3,7,A7,1.3485512132798685,"LINESTRING (13.1928876 52.5555907,13.2122995 52.5556031)"
3,A3,8,A8,1.724493912950482,"LINESTRING (13.1928876 52.5555907,13.2177111 52.555538)"
3,A3,9,A9,2.003359061594843,"LINESTRING (13.1928876 52.5555907,13.2217235 52.5552714)"
3,A3,10,A10,2.2773478790246524,"LINESTRING (13.1928876 52.5555907,13.2256692 52.5556722)"
3,A3,11,B1,0.6911598124661921,"LINESTRING (13.1928876 52.5555907,13.1838823 52.5513612)"
3,A3,12,B2,0.436153156674755,"LINESTRING (13.1928876 52.5555907,13.1877558 52.5519738)"
3,A3,13,B3,0.22661708734022312,"LINESTRING (13.1928876 52.5555907,13.1931628 52.5523402)"
3,A3,14,B4,0.4136185521763475,"LINESTRING (13.1928876 52.5555907,13.1975354 52.5518695)"
3,A3,15,B5,0.6981286626757894,"LINESTRING (13.1928876 52.5555907,13.2020792 52.5515283)"
3,A3,16,B6,1.0908772243317064,"LINESTRING (13.1928876 52.5555907,13.2082298 52.5522446)"
3,A3,17,B7,1.3413057753309434,"LINESTRING (13.1928876 52.5555907,13.2119786 52.5527064)"
3,A3,18,B8,1.701742953716085,"LINESTRING (13.1928876 52.5555907,13.2171456 52.5521837)"
3,A3,19,B9,2.0359235472795745,"LINESTRING (13.1928876 52.5555907,13.2221629 52.5542396)"
3,A3,20,B10,2.285175342091399,"LINESTRING (13.1928876 52.5555907,13.225601 52.5521452)"
3,A3,21,C1,0.8953492728458686,"LINESTRING (13.1928876 52.5555907,13.1837045 52.5465474)"
3,A3,22,C2,0.6983692176551324,"LINESTRING (13.1928876 52.5555907,13.1876311 52.5470216)"
3,A3,23,C3,0.5831670598862784,"LINESTRING (13.1928876 52.5555907,13.1922758 52.5472185)"
3,A3,24,C4,0.6539648076128437,"LINESTRING (13.1928876 52.5555907,13.1978552 52.5475945)"
3,A3,25,C5,0.8695658854022825,"LINESTRING (13.1928876 52.5555907,13.2023174 52.5473592)"
3,A3,26,C6,1.1444976859700569,"LINESTRING (13.1928876 52.5555907,13.207515 52.5480108)"
3,A3,27,C7,1.3969556112759856,"LINESTRING (13.1928876 52.5555907,13.2116045 52.5482397)"
3,A3,28,C8,1.8260378671074713,"LINESTRING (13.1928876 52.5555907,13.2182015 52.548511)"
